"","a.perfect.circle","abba","ac.dc","adam.green","aerosmith","afi","air","alanis.morissette","alexisonfire","alicia.keys","all.that.remains","amon.amarth","amy.macdonald","amy.winehouse","anti.flag","aphex.twin","apocalyptica","arcade.fire","arch.enemy","arctic.monkeys","as.i.lay.dying","atb","atreyu","audioslave","avril.lavigne","babyshambles","bad.religion","beastie.boys","beatsteaks","beck","beirut","belle.and.sebastian","beyonce","billy.talent","bjork","black.eyed.peas","black.sabbath","blind.guardian","blink.182","bloc.party","bloodhound.gang","blur","boards.of.canada","bob.dylan","bob.marley","bob.marley...the.wailers","breaking.benjamin","bright.eyes","bring.me.the.horizon","britney.spears","bruce.springsteen","bullet.for.my.valentine","caliban","cascada","cat.power","children.of.bodom","chimaira","christina.aguilera","clueso","cocorosie","coldplay","crystal.castles","cypress.hill","daft.punk","damien.rice","dark.tranquillity","david.bowie","david.guetta","death.cab.for.cutie","deep.purple","deftones","deichkind","depeche.mode","dido","die.apokalyptischen.reiter","die.toten.hosen","digitalism","dimmu.borgir","dire.straits","disturbed","dream.theater","dredg","dropkick.murphys","duffy","editors","eels","elliott.smith","eluveitie","elvis.presley","eminem","ensiferum","enter.shikari","equilibrium","eric.clapton","evanescence","faithless","fall.out.boy","farin.urlaub","feist","finntroll","flogging.molly","flyleaf","foo.fighters","frank.sinatra","franz.ferdinand","funeral.for.a.friend","genesis","gentleman","godsmack","goldfrapp","good.charlotte","gorillaz","green.day","groove.coverage","guano.apes","guns.n.roses","hammerfall","hans.zimmer","hatebreed","heaven.shall.burn","him","hoobastank","hot.chip","howard.shore","in.extremo","in.flames","incubus","interpol","iron.maiden","jack.johnson","james.blunt","james.morrison","jamiroquai","jason.mraz","jay.z","jimi.hendrix","jimmy.eat.world","johnny.cash","jose.gonzalez","joy.division","judas.priest","justice","justin.timberlake","kaiser.chiefs","kanye.west","kate.nash","katie.melua","katy.perry","keane","kelly.clarkson","killswitch.engage","kings.of.convenience","kings.of.leon","korpiklaani","kreator","lacuna.coil","lady.gaga","led.zeppelin","lenny.kravitz","leona.lewis","lily.allen","limp.bizkit","linkin.park","lostprophets","machine.head","madonna","mando.diao","manowar","manu.chao","maria.mena","marilyn.manson","massive.attack","metallica","mgmt","michael.jackson","mika","millencolin","misfits","moby","modest.mouse","mogwai","morcheeba","motorhead","muse","my.chemical.romance","nada.surf","nelly.furtado","nickelback","nightwish","nine.inch.nails","nirvana","nofx","norah.jones","nouvelle.vague","oasis","oomph.","opeth","panic.at.the.disco","papa.roach","paramore","parkway.drive","pearl.jam","peter.fox","pink","pink.floyd","placebo","porcupine.tree","portishead","queen","queens.of.the.stone.age","r.e.m.","radiohead","rage.against.the.machine","rammstein","ramones","razorlight","red.hot.chili.peppers","regina.spektor","rihanna","rise.against","rob.zombie","robbie.williams","schandmaul","scooter","seeed","seether","serj.tankian","silverstein","simple.plan","slayer","slipknot","snow.patrol","soilwork","sonata.arctica","sonic.syndicate","staind","stars","stone.sour","subway.to.sally","sufjan.stevens","sum.41","system.of.a.down","tegan.and.sara","tenacious.d","the.beatles","the.chemical.brothers","the.clash","the.cure","the.decemberists","the.doors","the.fratellis","the.fray","the.hives","the.killers","the.kooks","the.libertines","the.national","the.notwist","the.offspring","the.postal.service","the.prodigy","the.pussycat.dolls","the.rolling.stones","the.shins","the.smashing.pumpkins","the.smiths","the.streets","the.strokes","the.subways","the.ting.tings","the.used","the.white.stripes","the.wombats","thievery.corporation","three.days.grace","timbaland","tom.waits","tool","tori.amos","travis","trivium","u2","underoath","volbeat","yann.tiersen"
"1","0","0","0.204405399744717","0","0.266174512273766","0","0.118139774940785","0.186878798622001","0","0","0","0.106600373272566","0","0.192921812682251","0.0930059283895377","0","0","0","0","0.108813456618037","0","0","0","0.0883179717802155","0","0","0.171930795254959","0","0.0939939131890863","0","0","0","0","0","0.0848734651978203","0","0.103620660932099","0.175755965555654","0","0.123876834163072","0.102303748137054","0.182996391435444","0","0.13231175052126","0.124469843860107","0.203667211907778","0","0","0","0","0","0","0","0","0","0","0","0","0.113008847392209","0","0.311745938455157","0.161053336750069","0","0","0.079683797576884","0.112135025183084","0.112723637881416","0","0.0987097012961358","0.105590745879518","0","0","0","0","0","0.113412413274553","0.104582323114005","0","0.189896118382161","0","0","0","","0","0.0934980739706579","0","0","","0.0765122237798216","0","0.102527766158671","0","0.125452909570962","0.151450372574733","0","0","0","0.0927560401788584","0","0.127557983985195","0.332939263163716","0","0.0988959681372661","0.0881766967624552","0.0968703986550934","0","0","0.153919020961654","0","","0","0.187912840910922","0.0968435367780697","0","","0.0919705138204908","0.10029169392816","0","0","0","0.0827917814390893","0","0","0.0873286725899049","0.13164535080242","0","0.191362062462937","0","0.121560505210692","","0","0.0909115116437433","0.0915907128664826","0.117391219244581","0.0717367267231874","0.11206369769095","0.0846562808364777","0.200216870229441","0","0","","0","0","0.132673176876777","0","0.161112375396911","0","0","0.108537283760064","0","0","0","0.0966431343887313","0.203078742183769","0.129244647970108","0.097172750144802","0","0.0763622350728278","0.0784825383215335","0","0","0.0879110876145978","0.0938531899955737","0","0","0","0.207098091261135","0","0.0997020045436525","0","0","0.0916800949550748","0","0.08971923522183","0","0","0.0818913675245877","0.182568915580213","0.217263318971723","0","0","0.131147365424323","0.116721932785807","0.197767262922254","0","0","0","0.0992405834202417","0.0984312975282476","0","0.117541406180524","0.114225572873128","0.190499967610784","0.139580501003899","0.201136937122528","0","0.0851270364486193","0","0","0","0","0.107593284757171","0.0927011322851982","0","0.088746556954213","0.107089385910307","0","0.127090198345665","0","0","0","0","0.0897681031074493","0","0.177357377027292","0.104020534863862","","0","0","0","","0.0821973261345767","","0","0.0935773243026788","0","0","0","0","0","0","0.101088677572452","0","0","0","0","0","0","0.139121320869566","0","0","0","0","0.0934736283760859","0.218716257601922","0.102332780186492","0.195476743583214","0","0","0.179858745405796","0.0877744526888059","0","0.0965068301230504","","0.104507365638316","0","0","0","0.105132312539557","0.105730768591199","0.100634114052989","0","","0","0","0","0.0808703032787739","0","0","0","0","0.0949279637159786","0.0924068849256148","0.113371682324188","0","0","0","0","0","0.0954959224350293","0","0","0","0","0"
"33","0.0823426024461794","0","0.0959115320210641","","0.0888852208491466","0","0.190638390075421","0.175416279232336","0.069720392848255","0","0","0","0.173997345693115","0.194199741444128","0.0772217705345593","0","0","0.114297136177524","0","0.219705800310423","0","0","0","0.200688484043178","0.226586124529514","0.365852514218861","0.089117845472025","0.105510869703337","0.406169505843191","0.0892677847548821","0.0955546438746051","","0","0.105254474661324","0.108118208083871","0","0","0","0.170656901162651","0.302052734343141","0","0.106369257891579","0","0","0.174387384975105","0.175449321996573","0.231382749877015","0.189740428539353","0","0","0","0.199684471908929","0","0.069359835775976","0.16494158909527","0","0","0","","0","","0.0887925132445269","0.0930619159177158","0.101089713296182","0.259315149470354","0","0.0801092011550941","0.0925250640348436","","0","0.0979299280575153","","0","0.0797807670782403","0","","0.0928278224363832","0","0.0880148293304646","0","0","0","0.0823068985474326","0","0.105087894258404","0","0.195158447793881","0","0","0.18080260162453","0","0","0","0","","0","0","","0.08669856035845","0","0","0.425962999682728","","0.185057721129913","0.214638617494909","0","0.170506814181293","0.518466516992004","0","0.103267585665618","0.104960500505797","0.220383107314437","0.302870261093584","0.0656054687830218","0.187366420677357","0.0923417186776023","0","0.181122277942179","0","0","0.239895940580208","0.324157322207886","0.102417395178702","0","0","0","","0.185725375937842","0","","0.114861063313145","0.288469066278088","0","0.377213980894931","0.0717367267231874","0","0.165539172208806","0","0","0.0850601413621366","0","0.181537721762148","0","0.280017277938317","0.229678971900134","0.304457597805392","0","0","","0","0","0.206256338168551","0.504974848925837","0","0","0.113368208502269","0","0","0.0784825383215335","0","0.356918902121846","0.236174200339764","","0.189648031127283","0","0","","0","0.121263623708615","0.188712929041794","0","0","0","0.0891612113355887","0","0","0","0","0.0971157192749556","0.195769924313942","0.190745266970237","0.137906847221416","0","0.282714242192082","0.184371186545578","0.119475553970168","0","0.323455733781057","0.0962914867124161","0.107476365792929","0.183879420842685","0.0625320009069809","0.197591983906224","","0.408601402808595","0.11559624235581","0","0.264651662716811","0.220053440561235","","0","0","0.530456026023029","0.10182597978502","0","0.182750394760922","0","0","0.088027726543434","0.30968236139814","0.202839400743662","0.102109369056764","0","0.263877964655913","0.0852684537171371","","0.505186244424417","0.0836623663237958","0","0.0943570850066262","0","0.166785580302375","0","0.1552721488364","","0.0810726242313718","0.0971344690199674","0","0.0948804020943212","0","0","0.253417520189593","0","0.0846749097490059","0","0","0.0842754975351821","0","0","0.203806722900414","0.0967003793439282","0.193789433201281","","0","0","0.0865058250009998","0","0","0.120273324782377","0","0.296380049275844","","0.220313918173141","0.39539877979814","","0.287877692426574","0.196744050505647","0.0968572906580701","0.210282690850532","0.341348024507959","0.118300071902105","0","0","0.189725069065786","0.0846796419811934","0.117761549095409","0.17536887199082","","0.310383052121803","0.0746321205255211","0.180850982344745","0.199862804213709","0.126321140289068","0","","0.0821721486819862","0.0865244527726245","0","0.086036189972276","0.349529941129281","0","0.0945433380923042","0","0.0855854486135743","0.0900749561470353"
"42","0","0.0897665536183953","0","0","0","0","0","0","0","0","0.128404955587082","0","0.0869945086817529","0","0","0","0.220941918953959","0","0","0","","0.120358699447718","0.111165584234956","0","","0","0","0","0","0","0","0","0","0","0","0","0","0.0997782597838624","0","0","0","0","0","0","0","0","0","0","0.125567503264668","0.0724996244972366","0","0.0954034729864704","0.122351606459131","0.178644954127837","0","0.0839661858933543","0.11067304824838","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0812540937770388","0","0","0.0808375120234508","0.0863635921370486","0","0","0","0","0","0.0862013383921443","0","0","0","0","0","0","0.0658081172447122","0","0","0.0812279789106821","0","0","0","","0","0","0","0","0.0906717129650555","0.101550542772829","0.104805891148896","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0.0817200101630878","0.117270773621016","0.13390999655744","","0.0942454005418077","0","0.0891488018611377","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.100360945069159","0.128303516587425","0","0","0.0833280887046941","0","0.352065716416113","0.0756817451153477","0","0","0.0823826259226358","0","0","0.191999107489399","0","0.109359933160005","0","0","0.0953533263442683","0","0","0.205303239676682","0","0","0","0","0","0","0","0","0","0","0","0","0","0.101505112277947","0","0","0","","0","0","0","0","0","0","0.426284443495852","0","0","0","0","0.132690557869558","0","0","0.193045955439346","0","0.0840199663018207","0.0675284879796199","0","0","0","0","0","0","0.296665463159542","0","0","0","0","0","0","0.0957031262581704","0","0.243381996619038","0.13507732025201","0","0","0","0","0.107039529580992","0","0","0","0.0986135634148773","0.229893653684547","0.0998546680973948","0","0","0","0.2238273872465","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0955610033145058","0","0","0","0.167548675471972","0","0.10722231393357","0","0","0","0"
"51","0.0823426024461794","0.0835681135086085","0","0.0835017734266233","0","0.0929543917995141","0","0","0.0670884792982441","0.081037422331836","0","0","0.128222167924313","0.310488264356169","0","0","0","0.0818615412957414","0","","0","0","0","0","0","0.194113264171367","0","0","","0.0884480242282175","0","0.0809978236981692","0","","0.0865003916054315","0","0","0","0.116207029082089","0.367840346435183","0","0","0","0","0","0.0797101121607294","0.0915810738791538","0","0","0","0","0.0966511708429312","0","0","0","0","0","0","","0.0935697017917679","0","0.235227625639303","0","0","0","0","0","0","0.188869526980421","0","0.0979299280575153","0.30791561586182","0","0.0836747744254603","0","0.0852059821105915","0.105515791812029","0","0","0","0","0","0","","0.188560327947462","0","0.0938085545360289","0","0","0","0","0","0","0","0","0","0.114071903427725","0.0989644521476672","0","0","0.191850204003467","0.0853204459319306","0.325673397745138","0.101609675576378","0.446410138972841","0","0","0.0835899948058695","0","0","0.102839867754536","0","0.093152155766978","0","0","0","0","0.0886645149587747","0","0","0.0811286493604865","0.085248172312891","0.109348300507203","0","0","0","","0.10771194543179","0","0.37904447746172","0","0.0774590841110978","0","0.0862922100761674","0","0","0","0","0","0.0887982842357787","0","0.191258153341712","0","0.193335225845109","0.0679959440989501","","0.0716904943776971","0","0","0","0","0.0955159920866373","","0","0","0","0","0","0","0","","0","0.108971961828326","0","0","0","","0","0.106083088729548","0.183922186706285","0","0","0","","0","0","0","0","0","0","0.0827534210832989","0","0","0.205246823717364","0.12080898507016","","0","0","0","0","0.0952509463976275","0","0","0","0.305556125229229","0","0","0.107144087814594","0.101640963086035","0.193290719980112","0","0","0.185465794543199","0","0","0.101257325625728","0","0","0","0.174460155305123","0","0","0","0","0","","0.0919838385170123","0.275562847638683","0","0.1997378500592","0","0","0","0","0","0","0","0","0.0845122078986121","0","0","0","0","0","0","0","0.0842754975351821","0","0","0","0.108281868491975","0.190565204838358","","0","0","0","0","0","0","0","","0.188374677457405","0.503064681198113","0.22678006441187","0.608705803904613","0.160649532626467","0","0","0.0955169838768016","0","0","0","0","0.0940834174314213","0","0","0.254769067339013","0.212766170021943","0.608984695003398","","0.0960250477929918","0.310438657788261","","0","0","0","0","0","0","0","0","0","0","0","0"
"62","0","0","0.11430458769156","0.0931968819518542","0.0882213669482593","0.0929543917995141","0","0.102627304422923","0.0670884792982441","0","0","0","0","0.0918249101029785","0","0","0","0","0","0.294134605165406","0","0","0","0.18443754070157","0","0.104159580434962","0.0835384473187352","0","","0","0","0","0.0848535154019347","","0","0.0818123792143367","0","0","","0.182353844098183","0.200988743083025","0","0","0","0.211388738478887","0.0797101121607294","0.0915810738791538","0","0","0","0","0.0966511708429312","0","0","0","0","0","0","","0.0935697017917679","0.212678861743994","0.0901129204692304","0.0775515965980965","0.101089713296182","0","0","0","0.295211854481483","0.191965088894825","0","0","","0","0","0","0.198618395385145","0.0928278224363832","0","0.085004623664241","0.0874292338286494","0","0","0","0","0.106749513223136","0","0","0","0","0.229327827951321","0","0","0","0","0","0","0.114071903427725","0.191720492326526","0","0","0.279971517297782","0.180391414131182","0.31241123934066","0","0.0973361470742741","0","0","0.279854615294902","0.098669410593873","0","0.193081485469552","0.0978316836547648","0.189995692545048","0","0","0.0919705138204908","0","0.0886645149587747","0.0782757003395537","0","0.0811286493604865","0.085248172312891","0","0","0","0","0.388555360314163","0","0","0.408113201532677","0","0","0","0.0811086930773953","0.18421950350671","0","0.122448766402609","0.0846998407146721","0","0","0","0.2506185383147","","0.0943100943313482","","0.130235187748244","0","0","0.103330191893006","0","0","0","","0","0","0","0","0","0.223414513157768","0","0.193949216923161","0.0893127699454693","0.202825151823899","0.0993692930227954","0","0.0876078386844882","0.469543381126996","0","0.2057850932732","0","0","0","0","0.186923834413798","0","0.0934337175559566","0.0877377043124563","0","0.0784298616695118","0","0","0","0","0.0919052671739612","0.12080898507016","0.0809097775938483","0.116255029660335","0.193746737347737","0","0","0.212792352578151","0.0684644994836425","0.0853716597936949","0","0.322388038468932","0","0","0.194414035300917","0.101640963086035","0.212850555234319","0","0.107593284757171","0.374003354421907","0","0","0","0","0","0","0","0","0","0.0897681031074493","0","0","","","0","0.178117471276828","0.1997378500592","0.0932076429762967","0","0","0","0.182844970000298","0.098303362356919","0.0883341787312145","0","0.0845122078986121","0","0.0954550345076911","0","0","0","0","0.103424032287382","0","","0","0","0.248262202482924","0.0939091466230201","0","0.0934736283760859","0.109732335770615","0.0865058250009998","0","0","0","0.082922209594186","0.41520093525917","0.0975487856769551","0.288383792639003","0.108612539835336","","0.0941832008891862","0","0","0.305872611677792","0","0","0","0","0","0","0","0","0.230951959852688","","0.157469442636284","0","0.0900264607882744","0.315074643752906","0","0","0.296038907177408","0","0","0","0.0771395687672651","0","0","0","0.0918341476272802","0"
"75","0","0","0","0","0","0.220023979487093","0.0851088107225124","0","","0","0.105808515262278","0","0","0","0.166946446509506","0","0","0","0","0","0.108840246554158","","0.189341865099418","0.0975650570842767","0.111176725797253","0","0.10984502053461","0.10082624827698","0.114203559360346","0","0","0","0","","0","0","0","0","0.28686393024474","0","0.0954895167721464","0","0","0","0","0.0797101121607294","","0","0.0911697160024993","0","0","0.20093216976539","","0.208272934804943","0","0","0.0870517128920195","0","","0","0","0","0","","0","0","0","0","0","0","0","0.208826059464689","0","0","0","0.175858312471778","0.120547067536458","0","0","0.0874292338286494","0","0","0","0","0","0","0","0","0","0.0864877511079109","0","0.0958727998772289","0","0","0.109048122021358","0.197764400745113","0.114071903427725","0.0869423765855306","0","0","0.0968713107523004","","0.188024734840077","0","0","0.20218606294526","0","0.0835899948058695","0","0","0.287757024959076","0.108124146783042","0.189687838488628","0.269056813583545","0.178475964121695","0","0","0.271494043901648","0.133800512909033","0.109908645013974","0.183038287542212","0.413360758044857","0","0","0","0","0.0926538287463791","0","0","0.0950017682718338","0","0","0","0","0","0","0.0940273641234556","0","0","0","0","0.136112017071625","0","0","0.143550847644813","0","0","0","0","0","0.103802655884151","0","0","0","0","0","0","0","0","0","0.156565464566679","0.147143181109319","","0.192694020414123","0.113431464454561","0","0","0","0.0938907575801492","0","0","0","0","0","0","0","0.11307362580797","0.100834702697012","0","0","0","0","0","0","0.203286806460454","0","0","0.117244574149161","0","0","0","0.103124561081552","0","0","0.104889999988286","0","0","0.19462686918183","0.307696007850036","","0.109339946058233","0","0.185465794543199","0","0","0","0","0","0","0","0","0","0.0965752515062326","0","0","0","0.0941402186893488","0","0","","0","0","0","","0","0.179375986588291","0.0971344690199674","0.0872905129831203","0.179392609992933","0","0","0","0","0","0.0807864041970915","0","0","0","0","0","0.291425017959326","0.0939091466230201","0","0","0","0.122868881711881","0","0","0","0","0","0","0.0833468078335435","0","0","0","0","0","0.0955169838768016","0","0.30643756259631","0","0","0","0","0","0","0","0.0889747388739429","0","0.0848259345517528","0","0","0.0816738397974637","0.252123469266324","0","0","0","0","0","0.106024261650271","0","0.117373736699035","0","0"
"130","0","0","0","0","0","0","0","0.172805884869742","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0858162793120185","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0992178333718962","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0"
"141","0","0","0","0","0","0","0","0","0","0","","0.189829832998241","0","0","0","0","0.0936225580811563","0","0.337072566336439","0","","0","0.287791717877976","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.102672513709796","0","0","0","","0.145339906087168","0.110910188303539","0","0.462710608550203","0","0","","0.607889155984153","0","0","","","0","0","0","0","0","","0","0","0.204572110537592","0","0","0","0","0.0812540937770388","0","0","0","0.0889892228199534","0","0","0.214741420461136","0","","0","0.0812681172636325","0","0","0","0","0","0","0","0.105461751961074","0.0819801825819139","0.185029660308382","0.159692315520865","0","0.0984900319955542","0","0.103637721039247","0","0","0.0736624026147799","0","0","0","0","0","0","0","0.23341058005609","0.505673698639595","0","0","0","0","0","0.111124286294323","0","0.0922963475561867","0","0.608888282274075","","0","0.0917694787873025","0","0","0","","0","0","0.175500404419679","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.582841799046523","0","0","0.0742056531486414","0.162428197588769","0","0","0","0","0","0","0.0964354311881775","0.097945403010984","0.0886152530582044","0.586433760730059","0","0","0","0.096853965622348","0","0.0945345331422607","0","0.187253282325381","0","0","0","0","0","0","0","0","0","0","0","0.0957892890107283","0","0","0.0945061539274949","0","0","0","0","0","0","0","0.0816385538699339","0.232109125041342","0","0.294815435919622","0","","0.134078906630317","0","0","0","0","0","0","0","0","0","0","0.115933649593475","0.0923642563278","0","0","0","0","0","0","0.402475449993481","0","0.0791947695859293","0","0","0.476369427700018","0.179033361653103","0","0","0.093880026981247","","0","","0.179379622588821","0.58413704303182","0.363128487472485","0","","0","0","0","0.299079943208668","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.186052943054525","0","0","0","0.09072425636418","0","0","0.0821686182214411","0","0","","0","0","0.296513230264043","0"
"144","0","0.0963475756783736","0.0896061135313927","0.0845515542409855","0","0","0","0","0","0","0","0","0","0","0","0.179190133747788","0","0.0909379134369175","0","0.0883452715000847","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0.186088968031497","0","0.0880424043096497","0.0894558345960268","0.121821959003745","0","0","0","0.119553864791347","0","0","0","0","0","0","0","0","0","0","0","","0","0.0901129204692304","0","0","0.0817186049989698","0","0.113012303239803","0","0.196503668076642","0","0","0","0.0994939837149769","0","0","0","0","0","0","0","0","0.0907960543519458","0","0","0.243853080348794","0.0875988564505437","0.0787728371223433","0","0.108487252159236","0","0","0","0","0.0901017951061125","0","0","0","0","0.086399082571151","0","0","0","0","0","0","0","0.0695225905580286","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0927851097598412","0","0","0","0","","0","0","0","0","0","0","0","0.090281790850891","0","0.122312548923988","0","0.0863132948353137","0","0","0","0","0","0","0","0","0","0","0","0.0825271199517125","","0","0","0","0","0.0984314382309858","0","0","0","0","0","0","0","0","0.0884911905568068","0","0.0914902313484844","0","0","0","0","0.0977626230782097","0","0","0","0","0","0.120073091607675","0.0832099467089038","0","0","0","0","0.214516505419595","0","0","0","0","0","0","0","0","0.108696015620266","0","0","0","0","0","0","0","0","0","0.114394913018459","0","0","0","0.0969563467052187","0","0.0903805506950495","0","0","0","0","0.119643045964307","0.091604463369594","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.109509860501714","0","0","0","0","0","0","0","","0","0","0.0805586791002094","0.198675109077566","0.130158178373532","0","0","0","0","0","0.0874506497820388","0.110397762901996","0.0842436397015414","0","0.0817800410014678","0","0","0.114110643323428","0.180330728339898","0","0.0916121992404308","0.0794715415282788","0.20516626728683","0.0902978559221306","0","0","0","0","0","0","0","0.121419144272612","0","0","0","0","0","0","0","0.106651299547107"
"150","0","0","0.0949665295990253","0.0835017734266233","0.0890679244763606","0","0","0","0","0","0","0","0","0","0","0","0.100142233448442","0","0","","0","0","0","0","0","0.114534051020665","0","0","0.108086611995731","0","0","0","0","0","0","0","0.0903860618367216","0","0","0.116144586530477","0","0.095623520829706","0","0.13231175052126","0.0869188946187796","0.107928002071934","0","0","0","0","0","0","0","0","0","0.0863065278088106","0","0","0.109331866644137","0","0","0","0","0.101089713296182","0","0","0.112723637881416","0.0925250640348436","0","0","0","","0.0876118742204994","0","0","0.102785548738793","0.0928278224363832","0","0.10489149471792","0","0","0","0","0","0","0","0","0","0.0765122237798216","0","0","0","0","0.151450372574733","0.102347250620715","0","0","0.0986445866191275","0","0","0","0","0","0","0.113577628602027","0","0","0.117645080069689","0","0","0","0","0","0","0","0","0","0","0","0","0.0951440102682873","0","0","0.0876139426619078","0.100857568153128","0","0.0968614371616834","0","0","0.103059535713209","0","0","0","0","0","0.11206369769095","0","0.115517029514769","0","0","0","0.112740768526216","0","0.0921809239314717","0.0861281242553211","0.0885530174926642","0","0","0","0","0","0","0.108803590754475","0","0","0","0","0.0763622350728278","0","0","0","0.0993924509800933","0","0","0","0","0.11674754194497","0","0","0","0.130161473285053","0","0.112335994477366","0","0","0","0","0","0","0","0","0","0","0.114925931231781","0","0.0865502338062294","0","0.0884532386702585","0.112023967791232","0.0903872069589485","0.0916691839585927","0","0","0","0.0924514969912604","0.129436550895775","0","0","0","0","0","0","0","0","0.088746556954213","0.2007386837109","0","0","0.0910843340154768","0.0954759182457979","0","0","0","","0.0815065109345937","0.106653092591201","0","0","0","0","0.106321183975355","0","0.0846555801511468","0","0.0892676456976189","0","0.100762063799658","0","0","0","0.0977170966368528","0","0","0.0843336818008412","0","0","0","0","0.0999235684333134","0","0","0.126885343702549","0","0","0.108983921831307","0.0865058250009998","0.0963418242695536","0","0","0.0969365358116104","0.106500283530354","0","0.11429429841838","0.114326663798001","0.113455317289892","0","0","0","0","0","0","0","","0","0","0","0.146324071063995","0.10299922586451","0.19167284114541","0","0","0.117777970437614","0.115752449802179","0","0","0","0","0","0","0","0","0","0","0","0"
